番名,标签,总播放,追番人数,弹幕总数,开播时间,话数,声优,简介
Re：从零开始的异世界生活,奇幻+战斗+轻改+励志,1.5亿,352.2万,678.9万,2016年4月开播,已完结， 全25话,小林裕介、高桥李依、内山夕实、赤崎千夏、水濑祈、村川梨衣、新井里美、中村悠一,在异世界陷入迷茫的普通高中生菜月昴，邂逅了一位银发的美少女。但想助她一臂之力的昴，却一次次地遭遇敌袭，背叛、暴力，甚至是死亡……“死亡重置”——无力的少年拥有的唯一能力，能将死后时间倒转回一开始。使用了这般力量，便会失去过去的回忆，可为了守护最重要的人们，昴必须抗争到底。“即使你忘却了我，我也不会遗忘你。”
欢迎来到实力至上主义的教室,校园+智斗+轻改,6274.6万,348.3万,95.1万,2017年7月开播,已完结， 全12话,鬼頭明里、千葉翔也、M・A・O、久保ユリカ、東山奈央、水中雅章、若山晃久、小松未可子、小原好美,——真正的实力，平等究竟是什么？几乎百分之百实现升学、就业目标的全国首屈一指的名门校──高度育成高等学校。这间简直如同乐园般的学校，真面目却是唯有优秀者才能享受优待的实力至上主义学校！绫小路清隆被分配到最底层的D班。在那里，他遇见了成绩优异个性却超难搞的美少女──堀北铃音，和由体贴与温柔所构成，天使般的少女──栉田桔梗。与她们的相遇，使清隆的态度逐渐改变。大人气作者组合所赠予的，全新学园默示录!?
埃罗芒阿老师,搞笑+恋爱+轻改,6947.3万,329.8万,298.1万,2017年4月开播,已完结， 全12话,松岡禎丞、藤田茜、高橋未奈美、大西沙織、木戸衣吹、石川由依,高中生兼小说作家的“和泉正宗”（笔名：和泉征宗）有个家里蹲的妹妹“和泉纱雾”。一年前才成为家人的她，却完全不走出居室，并也用力踩踏地板，要我帮她准备食物。为了这段称不上“兄妹”的关系，正宗得想个办法让她自己走出居室才行，因为两人已是目前仅存能相依为命的“家人”……至于正宗的搭挡插画家“情色漫画老师”，是个能够画出非常棒煽情图的可靠伙伴。虽然双方并没见过面，但我一直很感谢他！只是在某一天，正宗突然发现到一个冲击事实，那就是“情色漫画老师”其实就是纱雾！？
Fate/Apocrypha,热血+战斗,6743.4万,296.5万,130.9万,2017年7月开播,连载中， 每周日 00:30更新,花江夏樹、坂本真綾、乃村健次、沢城みゆき、内山昂輝、真堂圭、早見沙織、遊佐浩二、古川慎,过去，在被称作冬木的城市曾举行过由七位魔术师与英灵参加的“圣杯战争”。然而趁着第二次世界大战的混乱，“某位魔术师”强行夺走了圣杯。数十年过去，千界树一族高举那个圣杯为象征，叛离了魔术协会，宣布独立。愤怒的魔术协会派遣了刺客，但他们却遭到了召唤出的Servant的反击。——对抗Servant的是Servant。“圣杯战争”的系统被变更。以罗马尼亚的图利法斯为舞台，前所未有的七对七规模的战争“圣杯大战”拉开了帷幕。
在下坂本，有何贵干？,日常+搞笑+校园+装逼,1亿,293.4万,103.5万,2016年4月开播,已完结， 全13话,绿川光、森久保祥太郎、石田彰、堀江由衣、游佐浩二、鲸（松本和香子）、中原麻衣、岩田光央、桧山修之、Mario..,于日本县立学文高中之中，有一名叫坂本的全能高中生，平常总是用著各种超乎常理的无厘头行为来完成各种琐事，导致周遭所有女性同学都对他钦佩绝倒，同时也引起所有男性同学的无限嫉妒。但不管面对其他人如何刁难，坂本总是能用各种帅气方式来让他人甘拜下风。
干物妹！小埋R,日常+搞笑+萌系+漫改,3621万,287.8万,72.5万,2017年10月开播,连载中， 每周日 23:30更新,田中爱美、野岛健儿、影山灯、白石晴香、古川由利奈、安元洋贵、柿原彻也、小清水亚美,小埋，复活！在房间无限展开的宇宙，再临……！在外人人称羡的才色兼备“美妹”，一回到家，就变身成不为人知的一心犯懒“干物妹”……！？极尽无所事事之能事的干物妹小埋，一手可乐一手薯片，沉浸于漫画、游戏、动画、网络……，将一同生活的哥哥太平放置在旁，忠于欲望向前突进！和同班同学海老名、切绘、希尔芬的关系也逐渐加深，小埋的日常变得越来越热闹！！！小埋的最强、最棒的日常，再次开始！
小林家的龙女仆,百合+日常+搞笑+萌系+漫改,7647.3万,277.8万,154.7万,2017年1月开播,已完结， 全13话,田村睦心、桑原由気、長縄まりあ、高田憂希、高橋未奈美、小野大輔、中村悠一、加藤英美里、後藤邑子,在单身的辛苦OL小林身边突然出现的女仆装束的美少女托尔。长着角和尾巴的她的身姿正是所谓的龙娘。在醉酒的小林邀请下说要到家里去的托尔，鬼使神差地开始以小林家女仆的身份工作……！？“女仆”+“龙”=“女仆龙”有着笨手笨脚的可爱之处！龙娘与人类之间基本上很温暖、偶尔有些黑暗的异种族间交流喜剧！！
Re:CREATORS,奇幻+科幻+原创,4729.8万,229.8万,106.6万,2017年4月开播,已完结， 全22话,山下大輝、小松未可子、水瀬いのり、日笠陽子、村川梨衣、鈴村健一、雨宮天、筑..,人类创作了许许多多的故事。喜悦、悲伤、愤怒、感动。这些引人入胜的故事撼动着人们的心灵。但是，那些不过是作为旁观者的感想罢了。如果，故事中的登场人物们拥有了“意志”。那么对于他们来说，创作出故事的我们，是神一般的存在吗？——在我等的世界内发起变革。——对诸神之地进行制裁。任何人，都将成为“创造主(Creator)”。
干物妹！小埋,日常+萌系,7521.1万,208.9万,342.4万,2015年7月开播,已完结， 全12话,田中あいみ、野岛健儿、影山灯、古川由利奈、白石晴香、安元洋贵、柿原彻也、小清水亚美,我的妹妹小埋16岁，完美的妹妹，完美的高中生，但在家里却是个超懒的干物妹。然而妹妹在家的一切她生活中的朋友并不知道，居住在同一栋楼的天然少女，以及无意间来到我家的冷酷少女，她们会发现小埋的真实面目吗？
徒然喜欢你,校园+恋爱+漫改,3025.7万,203.3万,86.2万,2017年7月开播,已完结， 全12话,石川界人、水瀬いのり、小野賢章、佐倉綾音、前野智昭、小倉唯、熊谷健太郎、三宅晴佳、花澤香菜,故事讲述了青梅竹马之间、学生会长与不良少女之间、前辈与后辈之间、同学之间等多种不同角色的恋爱群像剧。
夏目友人帐 伍,治愈+催泪+漫改+神魔,3056.8万,189.8万,60.7万,2016年10月开播,已完结， 全11话,神谷浩史、井上和彦、小林沙苗、石田彰、堀江一眞、木村良平、菅沼久義、沢城みゆき、佐藤利奈,从小就能看见妖怪的少年夏目贵志。自从他从祖母玲子那里继承了与妖怪成为主从并将其名字书写在上的契约书“友人帐”以来，便与自称为保镖的妖怪猫咪老师一同，开始了将名字返还给妖怪的每一天。夏目与各种各样的妖怪与善良人们相遇，在构筑温暖的场所同时，也反复寄托着想要守护重要之物的想法。
如果有妹妹就好了。,后宫+恋爱+轻改,1926.9万,187.5万,16.6万,2017年10月开播,连载中， 每周日 23:00更新,小林裕介、山本希望、金元寿子、加隈亚衣、日野聪、鸟海浩辅、代永翼、沼仓爱美、藤田茜,妹控小说家‧羽岛伊月，随时有一群充满个性的人聚集在他的身旁。爱与才能都是重量级，高阶的缺憾系美少女‧可儿那由多。对恋爱迷惘对友情迷惘对梦想迷惘的青春三冠王‧白川京。鬼畜税金拯救者‧大野艾希莉。天才插画家‧屁桃。伊月等人各自心怀迷惘与烦恼，有时一起打电动，有时结伴旅行，有时埋首工作，每天都过着热热闹闹的日子。总是温柔地在旁守护，如完美超人般的弟弟‧千寻其实怀有重大的秘密──
Fate/stay night [Unlimited Blade Works] 第一季,热血+奇幻,7368.7万,179.2万,153.7万,2014年10月开播,已完结， 全13话,杉山纪彰、植田佳奈、下屋则子、中田让治、关智一、门胁舞以、川澄绫子、诹访部顺一、Lancer..,Fate/stay night -UBW-是FSN的第二条路线Unlimited Blade Works的TV化作品。通过2010年1月23日上映的UBW剧场版，为我们应该已对该路线的故事情节有所了解。而即将于2014年10月4日播出的TV版到底又有何不同呢？或许是对游戏情节更加细致的描写，亦或是对某些未出现的场景作出的补充。于齿轮转动的无边旷野中，耳边再次回响起那浅吟低唱的咒文时，伴随着我们度过的那段难忘的圣杯战争又将重燃战火……
博人传 火影忍者新时代,热血+战斗+漫改,7584.9万,179万,140.9万,2017年4月开播,连载中， 每周三 17:55更新,三瓶由布子、菊池こころ、木島隆一、竹内順子,讲述原作的故事完结后漩涡鸣人之子漩涡博人的冒险故事。
笨女孩,搞笑+校园+漫改,3526.4万,176.1万,79.4万,2017年7月开播,已完结， 全12话,悠木碧、杉田智和、原田彩枫、上坂堇、日笠阳子、八代拓、千本木彩花、佐藤利奈、M·A·O、前田..,空前绝后的笨蛋，就在这里！笨到无可救药的女高中生·花畑佳子。非常喜欢香蕉。非常喜欢青梅竹马的阿君。以上！
食戟之灵 贰之皿,热血+美食,4643.6万,162.6万,105.8万,2016年7月开播,已完结， 全13话,松冈祯丞、种田梨沙、高桥未奈美、诹访部顺一、冈本信彦、花江夏树、大西沙织、赤崎千夏,每天都在自家的市郊餐馆“幸平”帮忙的幸平创真，在初中毕业的同时，就被父亲·城一郎推荐编入某所料理学校。那是日本首屈一指的料理学校“远月茶寮料理学园”……是毕业到达率不足10%的超级精英学校。严酷的考试、不断有人脱落的地狱宿泊研修、以退学为赌注的食戟。跨越各种试炼，磨炼着料理水平的创真。他与志同道合的伙伴，以及同世代的实力者们相遇，作为一个人类也有着确实的成长。——之后，秋季到来。即使在一年生当中也只允许被选拔出来的人出场的远月传统“秋之选拔”，创真得到了这场选拔的出场券。“秋之选拔”预选的题目是“咖喱料理”。优胜候补的调味料名手，叶山亮所制作的咖喱当中调味料的那份奥妙，得知这一点的创真为了应对叶山的宣战布告，而与调味料展开格斗。他直到预选当天的早晨为止都在试行错误当中面临调理，虽然抵达了与叶山相同的“香味炸弹”这一想法，但结果以叶山94分、创真93分的微小差距，令叶山夺得第一名。虽然败在叶山手下，创真仍然决定漂亮地在正赛中出场。他在满溢不甘的同时，在心中发誓要变得更强，如此这般，“秋之选拔”的正赛到来了。在淘汰赛中并肩出场的是，创真、惠、塔克米、绯沙子、爱丽..
甲铁城的卡巴内瑞,热血+奇幻+战斗+原创,4066.7万,159万,104.3万,2016年4月开播,已完结， 全12话,畠中祐、千本木彩花、内田真礼、增田俊树、梶裕贵、冲佳苗、伊濑茉莉也、逢坂良太、佐藤健辅、宫野真守,本作是一部以蒸汽机发达的岛国“日之本”为舞台的蒸汽朋克生存动作剧，作品主要描写了拥有钢铁心脏的僵尸=“卡巴内”与乘上装甲蒸汽机车“甲铁城”的少年少女的存亡之战。该作标题中的“卡巴内瑞”指的是介于“卡巴内”与人类之间的存在。
四月是你的谎言,少女+音乐+催泪,4882.7万,157.9万,1.7万,2014年10月开播,已完结， 全22话,花江夏樹、種田梨沙、佐倉綾音、逢坂良太、能登麻美子、梶裕貴、早見沙織、茅野愛衣、園崎未恵,从小接受母亲严格的钢琴训练，并在各种音乐比赛上获胜的“神童”——有马公生，11岁那年因为母亲去世，他从此变得听不见钢琴的声音，因而放弃了弹奏钢琴。国中三年级时，在青梅竹马椿的引见下，公生认识了与他同年级的小提琴手——宫园薰，并于一场比赛中被薰自由奔放的演奏风格所吸引。自此，公生的日常生活开始有了改变。
我们仍未知道那天所看见的花的名字。,日常+治愈+致郁+催泪+原创,1506.1万,156.8万,103万,2011年4月开播,已完结， 全11话,茅野爱衣、入野自由、户松遥、樱井孝宏、早见沙织、近藤孝行,从小一起长大的六个孩子，在升上高中之后彼此有了距离。不太与人们接触的宅男宿海仁太、有点被小太妹熏染的安城鸣子、进入重点高中的松雪集与鹤见知利子、放弃读高中而展开旅行的久川铁道……只有幼年死去的本间芽衣子（只有仁太能看见的灵魂），还是单纯一如从前。有一天，芽衣子对仁太说：“帮我实现一个愿望吧。”仁太虽然有点为难，却还是答应了她。以此为契机，为了实现芽衣子的愿望，分散的大家又再次聚集在一起……
关于我女友是个一本正经的碧池这件事,后宫+校园+漫改,1688万,155.5万,36.4万,2017年10月开播,已完结， 全10话,悠木碧、市来光弘、武田罗梨沙多胡、山田奈都美、八木侑纪,篠崎遥与班长香坂秋穗交往，而秋穗是个十分认真的女生，在搞错了男朋友性癖的情况下一本正经的认真学习各种性知识，让作为男朋友的遥都招架不住。而且男主角和女主角身边的朋友家人也都是怪人，秋穗的妈妈对于女儿实行的是「处女碧池」这样的精英教育，男主角身边有热爱性骚扰的青梅竹马，抖 M 的大小姐同学，极端兄控的妹妹等等。
从零开始的魔法书,奇幻+轻改+魔法,2504.1万,153.2万,44.9万,2017年4月开播,已完结， 全12话,花守ゆみり、小山剛志、大地葉,教会历526年。世界中存在着魔女，并普及了“魔术”。而世界尚未知晓“魔法”。被人们蔑视为“堕兽人”的佣兵，他每天被魔女觊觎着项上人头，梦想着变成人类，但某天在森林中遇到的美丽魔女，改变了他的命运。“——想要变回人类吗？那么佣兵，成为吾辈的护卫吧”。自称为零的魔女，其所拥有的视使用方法甚至可能毁灭世界的魔法书《零之书》被某人盗走，而她正在寻找它的旅途中……
宝石之国,热血+战斗+漫改,1823.1万,152.6万,34万,2017年10月开播,连载中， 每周六 22:00更新,黑泽朋世、小松未可子、茅野爱衣、佐仓绫音、田村睦心、早见沙织、内山夕实、高垣彩阳、内田真礼,以遥远的未来为舞台，地上的生物沉入了海底，被微生物吃掉成为无机物体。由于长时间的结晶变成宝石生命体的存在。那个拥有宝石身体的28人，与袭击他们打算将其作为装饰品的月人展开了一场又一场的战斗。
双星之阴阳师,热血+奇幻+战斗,7348.6万,149.5万,203.2万,2016年4月开播,已完结， 全50话,花江夏树、潘惠美、村瀬歩、诹访部顺一、芹泽优、福山润、前野智昭、浪川大辅、石川界人,曾是最强最年少的阴阳师、以祓除所有污秽为目标的少年焰魔堂辘轤，自经历被称为”雏月之悲剧“的污秽屠杀事件之後，决心放弃阴阳师身份来度过漫无目标的人生……但某天宿舍搬来一位名门阴阳师少女化野红绪，以最强为目标的她丝毫看不起毫无干劲的辘轤，造成两人间水火不容。只是根据总会所占卜的结果，显示了两人就是千百年来所有阴阳师们所等待的”双星之阴阳师“，他们将会产下”神子“终结这千百年来的人魔之争…
Fate/Grand Order ‐First Order‐,战斗+游戏改,1146.9万,149.3万,25.3万,2016年12月开播,已完结， 全1话,島﨑信長、高橋李依、杉田智和、鈴村健一、米澤円、川澄綾子、川澄綾子、..,【2016年12月31日bilibili独播】2015年。示巴所观测到的未来领域毫无前兆地消失。根据计算，发现——不，是证明了人类将于2017年灭绝。人理延续保障机构·迦勒底将“无法观测的领域”假定为人类灭绝的原因，决定执行尚处于试验阶段的第六实验。那就是回到过去的时间旅行。将术者灵子化送往过去，通过介入事象，寻找出时空奇点，究明真相或予以破坏的禁断的仪式。其名为圣杯探索——冠位指定（Grand Order）。
线上游戏的老婆不可能是女生？,后宫+奇幻+校园,3823.9万,144.1万,77.9万,2016年4月开播,已完结， 全12话,丰永利行、日高里菜、水濑祈、市道真央、大和田仁美、南条爱乃,西村英骑曾经有过一段“在网游里跟女性角色告白，结果发现对方是假冒女生的人妖”这样的黑历史，结果突然有一天他又被一个女性角色告白了。正在英骑怀疑历史重演的时候，却发现线上的“老婆”玉置亚子居然是一个真正的美少女，并且竟然还不懂得区分现实与游戏……？她不但在别人面前直呼英骑的游戏名，并且各种倒贴。而为了“纠正”她的行为，英骑和公会同伴们挺身而出…
某科学的超电磁炮,百合+奇幻+校园+战斗+漫改,1836.7万,139.9万,137.8万,2009年10月开播,已完结， 全24话,佐藤利奈、新井里美、豊崎愛生、伊藤加奈惠、花澤香菜、寿美菜子、戸松遥、南條愛乃、田中敦子,故事发生在面积占据东京都的三分之一，居住着230万名人口且其中八成人口是学生的巨大都市“学园都市”。学园都市的所有学生均会接受超能力开发，借由药物、催眠术与通电刺激等方式取得超能力。能力者以范围和威力分为LV0至LV5。主角御坂美琴是学园都市中仅七位LV5（超能力者）的其中一人，排行第三。她是拥有操纵电击能力的“电击使”，站在电击能力的顶峰，因而被称为“超电磁炮”。本作不但通过美琴的视角来描绘学园都市的平常而不平凡的日常生活，也叙述了学园都市秘密进行非人道性质的实验，从而使大家对于本作及本篇《魔法禁书目录》的背景（世界观）的认识也慢慢变得清楚。
路人女主的养成方法,后宫+恋爱+轻改,4178.7万,135.5万,121.4万,2015年1月开播,已完结， 全13话,大地葉、松岡禎丞、大西沙織、茅野愛衣、安野希世乃、矢作紗友里、赤﨑千夏、柿原徹也、中原麻衣,春假，为了赚得购入动画 BD 而打工的宅男·安艺伦也在樱花飞舞的道路上遇到了某个少女，对该少女感兴趣的伦也以她为模特制作了相关的同人游戏。一个月後，该少女成为了他的同班同学……为了制作游戏，伦也陆续找了美术部王牌来负责插画、学年第一名的学姐来写作剧本，一行人以 Comike为目标，开始进行相关的游戏制作。电视动画《不起眼女主角培育法》改编自由丸户史明原作、深崎暮人负责插画的同名轻小说。作品讲述了身为御宅族的安芸伦也为了制作游戏，说服同年级美术部的绘画高手泽村·斯潘塞·英梨梨，以及优等生学姐霞丘诗羽和女主角加藤惠，一起共组同人游戏社团，开始了同人游戏制作的故事。
夏目友人帐 陆,日常+治愈+奇幻+催泪,1855.1万,134.2万,44.4万,2017年4月开播,已完结， 全11话,神谷浩史、井上和彦、小林沙苗、石田彰、堀江一眞、木村良平、菅沼久義、沢城みゆき、佐藤利奈,从小就能看见妖怪的少年夏目贵志。自从他从祖母玲子那里继承了与妖怪成为主从并将其名字书写在上的契约书“友人帐”以来，便与自称为保镖的妖怪猫咪老师一同，开始了将名字返还给妖怪的每一天。夏目与各种各样的妖怪与善良人们相遇，在构筑温暖的场所同时，也反复寄托着想要守护重要之物的想法。
珈百璃的堕落,百合+日常+漫改+神魔,2703.2万,132.4万,71.4万,2017年1月开播,已完结， 全12话,富田美憂、大西沙織、大空直美、花澤香菜,天使学校的首席天使来到了地球！ ……但是，住惯了地球的她，开始过起整天逃学打网游的自甘堕落生活。化身为怠惰的废柴天使，简称“废天使”的加百列，早就把让全部人类幸福的目标抛到九霄云外，并发誓要充分享受娱乐——。
三年E班 第二季,日常+热血+校园+战斗+伪娘,5202.2万,130.4万,191.7万,2016年1月开播,已完结， 全25话,福山润、渕上舞、洲崎绫、冈本信彦、杉田智和、伊藤静、逢坂良太、浅沼晋太郎、绪方恵美、藤田..,以椚丘中学3年E班为舞台，被称为史上最凶恶的超生物将月球炸掉了七成，并扬言明年要炸掉地球，却以不明目的而担任椚丘中学3年E班的教师。故事围绕着非日常的校园生活而展开…
异世界食堂,奇幻+美食+轻改,1956.1万,128.9万,47.3万,2017年7月开播,已完结， 全12话,諏訪部順一、上坂すみれ、安野希世乃、大西沙織、伊藤静、大塚芳忠、清川元夢、杉田智和,在商业区附近的某条商店街角落，有栋挂着狗招牌的住商混合大楼，那间店就在那里的地下一楼。门上画了猫咪图案的餐馆──“猫咪西餐厅”。创业五十年以来，一直持续满足商业区上班族们的胃。虽然是西餐厅，但西餐以外的菜单也非常丰富，是间只有这点勉强称得上特征的普通餐厅。这么一间不起眼的小餐厅，在每周六都会对外公休，但是其实在这天都要迎接“异世界客人”的光顾：每到这天，店内的墙上就会出现一道门，这群客人不论是人族、魔族、鬼族、精灵族、蜥蜴人族、吸血鬼族、兽人、传说的魔龙（！？），都会从“门内”光临！
冰菓,日常+校园+恋爱+推理+社团,1507.8万,128.5万,66万,2012年4月开播,已完结， 全22话,中村悠一、佐藤聪美、阪口大助、茅野爱衣、雪野五月、置鲇龙太郎、由加奈、小山茉美、早见沙织、江波..,在众多将要展开「玫瑰色」生活的高中生之中，本作的男主角折木奉太郎却是一个「灰色」的节能主义者。凡是没必要的事就不做，因为不想后悔，被人说是疏离、厌世也无所谓，因为这就是他的作风。这样的折木奉太郎，却因为姐姐的命令而进入了濒临废社的「古籍研究社」。研究社虽然好不容易招到了四名新社员，但却又卷入了四十五年前社长突然肄业的谜团之中。社长当年留下的名为「冰菓」的社刊，内里究竟隐藏了什么神秘的讯息呢……
Fate/Zero 第一季,热血+奇幻+时泪+战斗+声控,2746.1万,125.5万,168.5万,2011年10月开播,已完结， 全13话,小山力也、川澄绫子、大原沙耶香、恒松步、中田让治、阿部彬名、速水奖、关智一、山崎功、..,作为「Fate/stay night」的前传，「Fate/Zero」的故事舞台设定在第五次圣杯战争的10年前，即第四次圣杯战争；而在「Fate/stay night」中充满神秘感的卫宫切嗣则会成为「Fate/Zero」的主角。在虚渊玄优秀的创作能力之下，「Fate/Zero」无论在剧情还是在生动流畅的战斗场面等方面都显得非常优秀。本片于2011年7月开播，分两季播出。动画制作将继续沿用自「空之境界」系列剧场版便开始合作的ufotable，监督则由在AIC及ufotable两间制作公司中 均有活跃表现的あおきえい担任。另外，在武内崇的人物原案之下，人设将交由须藤友德及碇谷敦负责。
罪恶王冠,热血+奇幻+战斗+原创,1798万,125.3万,115万,2011年10月开播,已完结， 全22话,津田美波、梶裕貴、渡辺明乃、中村悠一、茅野愛衣、茅野愛衣、内山昂輝、嶋村侑、花澤香菜,处于无政府状态的日本，受到了由超国家之间所组织成的名为“GHQ”的组织的武力介入并接受其统治，东京的六本木更成为被封锁的地区。之后又以名为“lost christmas（失落的圣诞）”的事件为契机，日本失去了独立国家的实质权力，并被赋予了表面上的自治权，由此人们开始享受短暂的和平。时光流逝，10年后的2039年。少年樱满集——怀抱着抑郁的心境，并对世间冷眼相待——在天王州第一高校就读的高中二年生，与同学们保持着一定距离的同时，度过着闲散而又平静的日子。然而集安稳的日常在某一天突然宣告结束。那天放学后，在自己中意的老地方和一名少女不期而遇。少女名为楪祈。她正是集所憧憬，并在网上有着巨大影响力的歌手。而她也有不为人知的一面。祈正是由17岁青少年恙神涯所率领的“葬仪社”——一个在被封锁的城市中歌颂着从”GHQ“手中得到”日本的解放“而赌上性命不断孤独地战斗着的抵抗组织——的成员之一。集在祈与涯引导之下，与葬仪社而发生了关联。尔后因为关系紧迫获被女主使用了虚空基因组，他的右手上出现了“王之刻印”。通过刻印，集可以自在地从人的身体里抽取出名为“void（虚空）”的物质，并以借此为武器..
